producoes_id,pesquisadores_id,issn,nomeartigo,anoartigo
f8b196ca-7394-4694-989b-882a45390de4,2d647981-d092-43bc-b25c-a30db53bd9ff,25956825,Dinâmica de ensino baseada em fabricação digital e PBL para apoiar os professores de psicologia na apresentação do Teste de Pirâmide Colorida Pfister / Teaching dynamics based on digital fabrication and PBL to support psychology teachers in presenting the Pfister Color Pyramid Test,2021
5ed6dbac-9d46-4f58-ab55-820ed53db892,2d647981-d092-43bc-b25c-a30db53bd9ff,25253409,A teoria fundamentada em dados aplicada ao campo da educação superior,2021
7e68ed9c-134b-473e-9c8a-2bfcf152fce4,2d647981-d092-43bc-b25c-a30db53bd9ff,20711050,Analysis of Hydrous Ethanol Price Competitiveness after the Implementation of the Fossil Fuel Import Price Parity Policy in Brazil,2021
a94579e2-3c3d-4a3c-ae30-68aba546a9c5,2d647981-d092-43bc-b25c-a30db53bd9ff,16604601,A Critical Analysis of the COVID-19 Hospitalization Network in Countries with Limited Resources,2022
5650552f-38e5-4d04-86da-8f81089db6a0,2d647981-d092-43bc-b25c-a30db53bd9ff,24112933,A Proposal for the Integration of the Energy Matrix from a Graph Theory Perspective,2022
b30ae7c3-fbd5-4bf4-8bcd-580d349918b9,2d647981-d092-43bc-b25c-a30db53bd9ff,17554365,"Synchronized spread of COVID-19 in the cities of Bahia, Brazil",2022
70c6c39b-000a-477a-a907-0fb591b2c420,2d647981-d092-43bc-b25c-a30db53bd9ff,21789010,Desenvolvimento sustentável: uma proposta para descarbonização de frotas de veículos,2023
49db117a-8ce4-40c7-99e5-21f9b066341d,2d647981-d092-43bc-b25c-a30db53bd9ff,23166517,SAÚDE PÚBLICA: PROSPECÇÃO TECNOLÓGICA DOS REGISTROS DE SOFTWARES PARA O COMBATE A DENGUE,2022
d234a857-58fb-47e4-a9a1-0615ced94527,2d647981-d092-43bc-b25c-a30db53bd9ff,19887833,Diretrizes para o planejamento de um ambiente de aprendizagem neuroarqeducativo,2023
b7ce65b4-c596-48cd-bf98-226f25c4e046,2d647981-d092-43bc-b25c-a30db53bd9ff,15411389,Mapeamento científico e tecnológico sobre Impressão 3D,2023
5dfd46e3-9258-4762-9665-f33d3a74627b,2d647981-d092-43bc-b25c-a30db53bd9ff,00105236,Maker Culture: dissemination of knowledge and development of skills and competencies for the 21st century,2023
